,Abstract,Advisor,Advisor_Major,Student_Major,Student_Year,Students,Title,Year
82,Our lab has found that cytoplasmic localization of the four partially redundant budding yeast mitotic cyclins (Clb1-4) is important for maintaining cell wall integrity and thus viability. We are using Western blotting and a LacZ reporter assay to examine activation of the cell wall integrity (CWI) signaling pathway in cells that express a nuclear-restricted Clb2 protein as the sole form of mitotic cyclin. Our preliminary results suggest that CWI signaling is elevated in cells that lack cytoplasmic mitotic cyclins. Additional results will be presented in this poster. (Research supported by a Roberta Dey Staley and Karl A. Staley Fellowship for Cancer Research at Wellesley College.),"ADVISOR: Jennifer Hood-DeGrenier,  Biological Sciences",Biological Sciences,Biological Chemistry,2011,Kaylyn Williamson,Connections between Cytoplasmic Mitotic Cyclins and Cell Wall Integrity in Saccharomyces cerevisiae,2010
83,"Lack of oxygen in mammalian tissues can quickly lead to cell death. However, some ectotherms, including the goldï¬Åsh (Carassius auratus), can survive throughout the year in freshwater ponds that are highly variable in oxygen content. A number of studies have found that acclimation to low oxygen can increase an animalâ€™s tolerance to subsequent hypoxia exposure, while others have attributed to ATP-sensitive potassium (KATP) channels the capacity to confer protection to cardiac muscle under those conditions. Our lab employed a quantitative PCR technique to study the molecular changes associated with regulatory and subunit proteins of KATP channels that may have cardioprotective roles under low oxygen conditions. Results using bactin1, arp and ubi as reference genes showed a clear up-regulation in the Kir6.2 subunit of KATP channels and a down-regulation in the hypoxia-inducible factor (HIF-1a) regulatory protein in ï¬Åsh acclimated to moderate hypoxia. (Supported by the Howard Hughes Medical Institute and Brachman Hoï¬€man Fund.)","ADVISOR: John Cameron, Biological Sciences",Biological Sciences,"Biological Sciences, Neuroscience and Spanish","2010, 2010","Thanh Thu T. Ngo, Stefanie Chan",Life in a Variable Oxygen Environment: A Molecular Study of KATP Channels in the Hearts of Hypoxia-acclimated Goldï¬Åsh,2010
84,"When you walk into a classroom or a party and scan the room full of people, you look to see if you spot any familiar faces. The faces that you immediately identify are probably your friends or people youâ€™ve met many times before. Some people have excellent face memory and can recognize someone even if they only brieï¬‚y saw the person a long time ago. These people are Super Recognizers. In our study, we used the Cambridge Face Memory Test to measure subjectsâ€™ facial memory as well as the Mind in the Eyes test to measure subjectsâ€™ perception of facial emotion. We also measured subjectsâ€™ personality using scales such as the Ten Item Personality Measure and Narcissism Personality Inventory. Our goal was to see if subjects with certain personality traits or qualities had either better or worse face memory or perception of facial emotion.","ADVISOR: Jeremy Wilmer, Psychology",Psychology,"Neuroscience, Neuroscience","2010, 2011","Christine Chen, Sarah Koopman",You Look So Familiar!: A Study of the Relationship between Personality and Face Memory,2010
85,"Within the visual system of mammals, evidence suggests that parallel tracks process information about color, form, and motion. Our lab is interested in identifying the neural architecture and cell-to-cell computations involved in this process. Currently we are focused on dismantling the puzzling computational problem that is object recognition. In humans, only two distinct views of a novel stimulus are required to establish view-invariant object recognition. We are currently evaluating view-invariance in squirrels and rats using a 2-alternative forced-choice behavioral task. Our goal is to then use tetrode arrays in alert behaving squirrels to monitor single unit neuronal activity in a variety of brain areas. (Funded by Wellesley College.)","ADVISOR: Bevil Conway, Neuroscience",Neuroscience,"Neuroscience, Neuroscience, Neuroscience, Unspecified, Neuroscience, Unspecified, Neuroscience, Neuroscience","2010, 2012, 2012, 2012, 2010, 2012, 2012, 2012","Flo Doo, Jemimah Dorillas, Galina Gagin, Quynhdiem Lam, Marlie Philiossaint, Christina G. B. Scavuzzo, Sonja Swanbeck, Mijeong Takahashi",A Rodent Model for View-invariant Object Recognition,2010
86,"What comes to mind when you hear the word, â€œethnicityâ€ù? Skin color? Food? Interpersonal distance is probably not a concept that many associate with ethnicity. However, Edward Hall (1966) suggests that preferred interpersonal distances between individuals can be signiï¬Åcantly inï¬‚uenced by oneâ€™s ethnicity. In his study, Arabs were more likely to stand at closer distances while facing other individuals than were their American counterparts. The purpose of the present research was to expand upon Hallâ€™s ï¬Åndings by examining preferred interpersonal distances between Asian and Caucasian students at Wellesley College. Contrary to Hallâ€™s ï¬Åndings, however, the results of our study indicated that interpersonal distance was not signiï¬Åcantly related to ethnicity among these two groups. How can we explain such diï¬€erence in results? Come and ï¬Ånd out!","ADVISOR: R. Steven Schiavo, Psychology",Psychology,"Psychology, Psychology, Psychology","2010, 2010, 2012","Emily Hung, DongHwa Kim, Catherine  Ok",Interpersonal Distances as a Function of Ethnicity,2010
87,"The World Health Organization estimates that a third of the worldâ€™s population is infected with tuberculosis (TB), with new cases occurring at a rate of one per second. In 2007, there were an estimated 13.7 chronic active cases, 9.3 million new cases, and 1.8 million deaths, mostly in developing countries. Currently, the main challenges for tuberculosis control are the development of multidrug-resistant tuberculosis (MDRTB) and newly evolving strains with increase virulence and strong resistance to previous drugs. Consequently, the need to develop new and potent antituberculosis drugs is necessary now more than ever to counteract the increased resistance of TB to standard treatments. We now report on new compounds that may be appealing leads for development as new potential agents for therapy. New thioureas and benzals derived from pipecoline were prepared in good yields and purity using organic synthesis and are being tested for their activity against the causative agent of TB infection, Mycobacterium tuberculosis.","ADVISOR: Michael Hearn, Chemistry",Chemistry,Biochemistry,2011,Jenny Chang,Combating TB: Synthesis  and Properties of Potential Antitubercular Agents,2010
88,"Aï¬€ecting one third of the worldsâ€™ population, tuberculosis has begun to reemerge in  industrialized countries to become a major threat to global health. With the formation  of new strands of M. tuberculosis resistant to one or more of our front-line drugs, the development of new therapies is more  important than ever. In this study, com-pounds subtly mimicking the structure of activated isoniazid, a widely used drug in tuberculosis treatment, were prepared as  possible novel therapies, identiï¬Åed by their spectroscopic properties, and analyzed for antitubercular activity.","ADVISOR: Michael Hearn, Chemistry",Chemistry,Biochemistry,2012,Constance Ohlinger,Preparation and Properties of Novel Antitubercular Compounds,2010
89,"Spiroxin A, a natural compound isolated from a marine fungus, has shown promising cytotoxicity against ovarian cancer cells. Ovarian cancer is a serious disease that aï¬€ects about one in ï¬Åfty-seven women in the U.S. each year and is the most common cause of death from gynecological cancer.1 The goal of this study is to establish a novel synthetic methodology to obtain a key chiral intermediate en route to the total synthesis of the spiroxin A carbon framework. Progress towards validation of this methodology along with its subsequent application toward construction of the common spiroxin framework will be presented.1. Fasching, P.A.; Gayther, P.; Pearce, L.; Schildkraut, J. M.; Goode, E.; Thiel, F.; Chenevix-Trench, G.; Chang-Claude, J.; Wang-Gohrke, S.; Ramus, S.; Pharoah, P.; Berchuck, A. Mol. Oncol. 2009, 3, 171â€“181.","ADVISOR: Dora Carrico-Moniz, Chemistry",Chemistry,Chemistry,2011,Alice Kwan,Progress Towards the Total Synthesis of the Promising Anticancer Natural Product Spiroxin A,2010
90,(-)-Cephalotaxine is a naturally occurring compound isolated from Cephalotaxus harringtonia. Several of its naturally occurring esters have been found to possess activity against L-1210 and P-388 leukemia in mice.1 Leukemia is a devastating disease that aï¬€ects thousands of people annually in the United States. The total synthesis of (-)-cephalotaxine will provide a means to access the parent compound and allow the preparation of other structurally related analogues as potential antileukemic agents. Progress toward a novel enantioselective total synthesis of (-)-cephalotaxine employing a new desymmetrization approach is presented.,"ADVISOR: Dora Carrico-Moniz, Chemistry",Chemistry,"Chemistry, Economics","2012, 2011","Shoshana Bachman, Linh Vu",Nature and Synthesis: Allies Against Leukemia,2010
91,"Schizophrenia (SZ) is a complex disorder that likely has both genetic and environmental etiology. We have developed a model of SZ using mice heterozygous for a mutation of the enzyme glutamate carboxypeptidase II (GCPII). To model genetic and environmental deï¬Åcits, we deprived GCPII mice of the nutrient folate in adulthood. We have found that mice with either a GCPII mutation or folate deï¬Åciency display SZ-like symptoms; surprisingly, mice with both performed similarly to controls. In a second study, dams were folate-deprived prior to breeding and oï¬€spring were given a folate-deï¬Åcient diet. Mice were tested on tasks relevant to symptoms of SZ. Four out of ï¬Åve control mice on the folate-deï¬Åcient diet displayed severe physical abnormalities, whereas no folate-deprived GCP II heterozygous mice displayed these abnormalities. We are currently examining the eï¬€ects of folate deï¬Åciency in the early postnatal period, attempting to model nutritional deï¬Åciency during the third trimester in humans. (Research supported by Wellesley College Faculty Awards.)","ADVISOR: Joanne Berger-Sweeney, Biological Sciences and Office of the Dean of the College, and Laura Schaevitz, Biological Sciences","Biological Sciences and Office of the Dean of the College, Biological Sciences",Neuroscience,2010,Lauren Eby,Genetic and Nutritional Inï¬‚uences on the Development of Schizophrenia,2010
92,"Due to the increasing prevalence of drug resistant tuberculosis, there is a pressing need to develop more eï¬€ective and potent antitubercular drugs. 1-(4-Methylpiperazin-1-yl)thioureas are of great interest as potential antitubercular drugs because they contain both thiosemicarbazide and  piperazine chemical groups. As part of an ongoing investigation into the antitubercular properties of novel thioureas, the preparation and propertiesof 1-(4-methylpiperazin-1-yl)arylthioureas were examined. 1-(4-Methylpiperazin-1-yl)thioureas are prepared in the reaction of 1-amino-4-methylpiperazine with an aryl isothiocyanate usually in good yields and without byproducts. Success of reactions is easily evaluated using NMR and IR spectra due to distinguishing features of the resulting thiourea group. The ease of preparation and characterization of 1-(4-methylpiperazin-1-yl)thioureas makes this family of compounds especially convenient for the study and development of future antitubercular drugs.","ADVISOR: Michael Hearn, Chemistry",Chemistry,Biochemistry,2010,Tracy Y. Wang,Synthesis and Properties of Antitubercular1-(4-methylpiperazin-1-yl)thioureas,2010
93,"We encounter springs every day, when we sleep on a bed, when we write on a spiral-bound notebook, or when we look at a watch. Springs provide an extension or compression over a distance. They are commercially available, with many diï¬€erent spring constants (k). We veriï¬Åed Hookeâ€™s Law (F = -kx), and we measured the eï¬€ective spring constant (k) for springs in series and for springs ion parallel. We measured and calculated the change in length of springs, showing that springs hung in parallel follow keï¬€ = k1 + k2â€_kn while springs hung in series follow 1/keï¬€ = 1/k1 + 1/k2â€_ 1/kn. We also found errors in the advertised â€˜kâ€™ values for some of the springs we used.","ADVISOR: George Caplan, Physics",Physics,Biological Sciences,2011,Jessica Liao,Investigation of Spring Constants in Commercial Springs,2010
94,"Astronomers observe that late in their life-times, stars like our sun lose mass. By looking at spectral lines of binary star systems, we hope to better understand the process behind this mass loss. One of the stars shines through the mass lost by its companion, and the absorption of certain wavelengths of light can tell us about the makeup of the gas surrounding the mass-losing star. We are analyzing Hubble Space Telescope, Far Ultraviolet Spectroscopic Explorer, and International Ultraviolet Explorer data of three binary star systems: VV Cephei, KQ Puppis, and 31 Cygni, to study spatial structure in the stellar winds. (Research supported by the Massachusetts Space Grant Consortium.)","ADVISOR: Wendy Bauer, Astronomy",Astronomy,"Astronomy, Astrophysics","2012, 2012","Rhea Brown, Deborah Tien",Students Talking about Astronomy Research (STAR),2010
95,"Geosciences are an inherently interdisciplinary ï¬Åeld. Current senior thesis research encompasses subjects from climate change and mine site remediation to salt marsh dike removal, monsoon evolution, and wave modeling. Though the techniques and topics diï¬€er, all seek to address an environmental issue by gaining a better understanding of earth systems.","ADVISOR: Brittina Argow, Geosciences, and Daniel Brabander, Geosciences","Geosciences, Geosciences","Geosciences, Environmental Studies, Geosciences, Geosciences","2010, 2010, 2010, 2010","Emily Estes, Taylor Y.  Harvey, Sarah Hurley, Alej",Environmental Geosciences Senior Thesis Panel,2010
96,"Concern over Pb, Zn, and Cd contamination downstream of the Tar Creek Superfund Site, a former mining district in Oklahoma, has prompted investigation into the role of hydrous ferric oxides (HFOs) in metal adsorption and transport. The two primary metal sources to Tar Creekâ€”seepage of groundwater from mines and run-oï¬€ from mine waste pilesâ€”result in the formation of two distinct HFO types that mix with creek sediment to form a third composite type observed at downstream locations. This project characterized the chemical and physical properties of each HFO type and quantiï¬Åed metal associations by mineral phase. Metal concentrations and Pb/Zn ratios decrease away from the source, suggesting that metal aï¬ƒnity for HFOs relates to sorption stability constants. Changes in HFO composition and morphology following mixing with creek sediment and deposition on downstream ï¬‚oodplains could aï¬€ect the potential for metal remobilization. (Research supported by the Janina A. Longtine Fund for Summer Research in the Natural Sciences and a Deanâ€™s Oï¬ƒce Research Grant.)","ADVISOR: Daniel Brabander, Geosciences",Geosciences,Geosciences,2010,Emily Estes,"The Role of Naturally Precipitated Hydrous Ferric Oxides in Metal Fate and Transport, Tar Creek Superfund Site, Oklahoma",2010
97,"Located in Wellï¬‚eet, MA, the Chequesset Neck Dike was built in 1908â€“09 to convert 1,000 acres of salt marsh into agricultural land and to control mosquito populations. The diking of the Herring River had signiï¬Åcant negative impacts on the estuarine environment. Cape Cod National Seashore managers have actively advocated for tidal restoration to the impacted estuary for over two decades. Now that a plan is ï¬Ånally underway, a major concern voiced by the local shellï¬Åshing industry is a possible change in mean sediment size as a result of the opening of the dike. Last summer I collected sediment samples throughout the estuary and subsequently analyzed their percent organic content, grain size, and composition. This information will be used to characterize the current sediment above and below the Dike as well as in Wellï¬‚eet Harbor and give managers metrics by which to evaluate potential changes in sediment source resulting from restoration. (Research supported by a CWS Summer Stipend and the Joshua A. Nickerson Conservation Fellowship.)","ADVISOR: Brittina Argow, Geosciences",Geosciences,Environmental Studies,2010,Taylor Y. Harvey,"Sedimentological Parameters of the Herring River, Wellï¬‚eet, MA",2010
98,"The Asian monsoon is a critical component of global climate, and has far reaching impacts on human livelihood in one of the worldâ€™s most densely populated regions. Unraveling the monsoon response to 1) teleconnections between global climate systems and 2) tectonic forcing is essential to understanding monsoon circulation. The spatial and temporal evolution of the monsoon is examined through paleoclimate reconstruction reaching to the Oligocene (~30 Ma). A fundamental set of climatic and oceanic parameters including continental vegetation type, humidity, salinity, and sea-surface temperature are used to describe variations in monsoon circulation. Preliminary results show regional monsoon intensiï¬Åcation associated with late Miocene environmental change and the expansion of C4 plants. (Research supported by NSF-OCE funding to the Ocean and Climate Change Institute, WHOI.)","ADVISOR: Daniel Brabander, Geosciences",Geosciences,Geosciences,2010,Sarah Hurley,Evolution of the Indian Monsoon System over the Past 30 Myr â€“ An Organic Proxy Approach,2010
99,"The project is the generation of a wave model of the pocket-beach system of Vieques, Puerto Rico. The Simulating Nearshore Waves (SWAN) modeling program creates the wave model. Data from NOAA generates the model. Real-time data collected from Vieques, Puerto Rico calibrates the wave model. Vieques formed as an island chain over a subduction zone. The diverse geology of the island includes igneous rocks, sand-rich limestones, and alluvial sediments. Sedimentary material is delivered to the coasts from weathering of upland rocks and coral reefs, forming a system dominated by pocket beaches and mangrove swamps along the southern shore, and moderately-connected beaches along the northern shore; however, the system is sand-starved. Wave energy drives sediment transport in the nearshore coastal zone and the beaches should reï¬‚ect changes in wave energy. The morphology and composition of the sediment of the diï¬€erent beaches around the island is considered with regards to wave energy. (Research supported by the Annabel Boyce James Fund for Research in the Sciences, Brachmann-Hoï¬€man Grant, and a Deanâ€™s Oï¬ƒce Research Grant.)","ADVISOR: Brittina Argow, Geosciences",Geosciences,Geosciences,2010,ra C. Ortiz,Investigating the Effect of Wave Energy on Coastline Morphology and Beach Sedimentology Using Real and Modeled Wave Data,2010
100,"In Marietta, Georgia, in August 1915,  a crowd of upstanding Atlanta citizens watched as Leo Max Frank hung dead from an oak tree. Frank had, in 1913, been convicted of the murder of thirteen-year-old Mary Phagan. Although his sentence had been commuted, many people in Atlanta were convinced of his guilt, and the crowd claimed that they were simply fulï¬Ålling the death sentence demanded by law. Leo Frank, in contrast to most victims of lynching in  the South, was wealthy, educated, and white. He was also Jewish. Was Leo Frank a victim of antisemitism? My presentation will examine the possible motivations for the citizens of Atlanta to lynch a man who seemed, on the surface, to be their equal.","ADVISOR: Frances Malino, Jewish Studies and History",Jewish Studies and History,History and Music,2010,Julie Howe,Atlantaâ€™s Cry to â€œHang the Jew!â€ù and the Signiï¬Åcance of Antisemitism in the Early Twentieth Century South,2010
101,"In pre-Holocaust America, animals were anthropomorphized as lively, comedic, and entertaining.  Characters like Oswald the Rabbit, Mickey and Minnie, the Cheshire cat and white rabbit from Alice in Wonderland, shaped Americaâ€™s perception of images of animals as charming and entertaining. Europeâ€™s view, on the other hand, took on a sinister, threatening and frightening role. The Third Reich created an eï¬€ective propaganda campaign that became the lynchpin in persuading the community at large that an entire segment of its population needed to be isolated and exterminated. How could the Nazis have been so successful at deï¬Åning the Jews as undesirable, equal to the vermin, synonymous with disease carrying rats? Why were the Nazis able to create that image in Germany, when they were not able to trans-form Mickey Mouse into a disease carrying, better oï¬€ dead, Jew in America?","ADVISOR: Frances Malino, Jewish Studies  and History",Jewish Studies  and History,Jewish Studies and Teacher Education,2010,Samantha Nidenberg,The Rodent: Nazi Imagery and its Ability to Control an Audience,2010
102,"In 1967, President Charles De Gaulle announced a re-orientation of French foreign policy, elevating support for the Arab Middle East over Franceâ€™s prior role as Israelâ€™s main European ally. In 2006, Ilan Halimi, a twenty three-year-old French Jew of Moroccan descent, was kidnapped in Paris and tortured by a group known as the â€œgang of barbarians.â€ù This event could be seen as a consequence of Franceâ€™s conï¬‚icted relationship to its colonial history and to its immigrant populations. My presentation will discuss the possible connections between De Gaulleâ€™s speech and Halimiâ€™s murder, and will suggest an explanation of the new tolerance for antisemitism in French society.","ADVISOR: Frances Malino, Jewish Studies and History",Jewish Studies and History,French and Jewish Studies,2010,Marion Glickson,A New Tolerance for Antisemitism,2010
103,"From the beginning, Elvis Presleyâ€™s style of â€œrock nâ€™ rollâ€ù caught both positive and negative attention. Some considered him revolutionary while others focused on his swaying hips and the detrimental eï¬€ect they supposedly had on the moral health of the young generation to whom he catered. Either way, his music and performances had an irreversible eï¬€ect on American music, an eï¬€ect that would eventually trickle over the border into Mexico. El-Vez, the stage name for performer Robert Lopez, is commonly referred to as â€œThe Mexican Elvis.â€ù  Blending Elvis Presleyâ€™s musical tracks with new and politically charged lyrics, Lopez has used Elvisâ€™s music to forward his own political  and social agenda. Clearance Gibbens, an African American Elvis impersonator, also sings in tribute to the king. Though the majority of Elvis impersonators are male, some are female.","ADVISOR: Elena Tajima Creef, Womenâ€™s and Gender Studies",Womenâ€™s and Gender Studies,Unspecified,2013 and Rachel Coogan,Rebecca Reeve,El Vez Lives!: Elvis Presley Tribute Artists Across Race and Gender,2010
104,"Elvis Presley has been called many thingsâ€”clown, degenerate, hypocrite, good olâ€™ boy, mammaâ€™s boy, copycat, the Second Comingâ€”but on this everyone can agree: he wasâ€”and isâ€”an icon. His careerâ€™s longevity combined with his inexplicable charisma as a performer and his innovative musical style created a lasting impact on American culture. This is the retrospective view. He was not always seen so charitably. In fact, by his second decade on the scene he was widely considered a washed up â€œsnarling darling.â€ù So when it was announced in 1968 that he would be putting on an NBC television special, the nation expected some useless anachronistic, base, cheap spectacle. What 1:30â€“2:40pm","ADVISOR: Elena Tajima Creef, Womenâ€™s and Gender Studies",Womenâ€™s and Gender Studies,Unspecified,2013 and Carrie Shirley,ez,"â€œItâ€™s been a Long Time, Babyâ€ù: Reading Elvis Presleyâ€™s 1968 â€œComeback Specialâ€ù",2010
105,"Viva Las Vegas (1964) has come to be known as one of Elvis Presleyâ€™s best ï¬Ålms. While the ï¬Ålm oï¬€ers a more engaged performance from Presley and a better soundtrack, the success of the ï¬Ålm cannot be boiled down to him. His co-star, Ann-Margret, brought multiple dimensions to the usually ï¬‚at formula of Elvis ï¬Ålms. The chemistry between Elvis and Ann-Margret sizzles onscreen in Viva Las Vegas. The latter brought talent, ambition and life to their on (and oï¬€) screen love aï¬€air. Her performance in Viva Las Vegas provides ample material to dissect the representation of gender in this iconic Elvis ï¬Ålm.","ADVISOR: Elena Tajima Creef, Womenâ€™s and Gender Studies",Womenâ€™s and Gender Studies,Unspecified,2013 and Lauren Woelfel,a Major,Containing the Feral Female: Reducing Ann-Margret to Ribbons and Sandwiches,2010
106,"Over 400 years, Martinique transformed from a slave-reliant colony to a fully equal French region. With colonization, the slave trade and the post-abolition immigration of Chinese and Indian workers, Martinique fostered the growth of a unique type of local medical practice. The valence in the contestation between local practices and the seeming scientiï¬Åc medicine and nursing practices of France shifted over time. Local Martinican and modern European medicines inevitably mixed, resulting in a hybrid more eï¬€ective than either of the two were separately. The tension, mistrust, collaboration, and ultimate beneï¬Åts of the interaction between the two types of medicine serve as an allegory for the rapport between France and Martinique. The two have been engaged in an uneven relation-ship of power: colonist and colonized, doctor and patient. Despite this imbalance they have united into a relatively stable and eï¬€ective alliance, negotiating their diï¬€erences and constructing a shared, trans-Atlantic identity.","ADVISOR: Susan Reverby, Womenâ€™s and  Gender Studies",Womenâ€™s and  Gender Studies,"Unspecified, Unspecified","2010, 20s and Gender Studies and French","Carmel Scharf, Women","Between Paris and Fort-de-France: Colonial Medicine, Local  Healing, and Medical Professionalization in Martinique",2010
107,"Principal events in Italian history, extending back as far as the Rinascimento, the Risorgimento, and the anti-fascist Resistenza, provide concrete examples of how the southern population has been largely excluded from participation in key historical movements before and after the formation of the nation. Continual isolation of southerners from integration with their northern counterparts has created an image of southern Italians as second-class citizens. Examination of the â€œsouthern questionâ€ù for my senior honors thesis will identify distinctive cultures, but will also illuminate many unifying features across the north/south gradient, dispelling some of the rooted stereotypes of southerners as â€œbackward,â€ù inferior, and barbaric peoples. (Research supported by the Oï¬ƒce of the Dean of the College and the Amanda Aeschliman Gift.)","ADVISOR: David M. Ward, Italian Studies",Italian Studies,Biological Sciences and Italian Studies,2010,Catherine Maureen Marchetta,Revisiting the Roots of Southern Italian Disparagement: Dispelling Perpetuated Stereotypes,2010
108,"Art museums are sites for negotiating concepts of the global, the national, the community, and the self. In these institutions, ideas about who â€œweâ€ù are and how we should relate to the â€œotherâ€ù are debated and negotiated. Yet as the nation changes, museums are challenged to attract and incorporate new visitors. My research analyzes how museum educational programming helps attract more diverse audiences. I look at three regional cases that illuminate diï¬€ering approaches: Bostonâ€™s Museum of Fine Arts, the Brooklyn Museum, and the Los Angeles County Museum of Art. Each museum is located in a city that is increasingly diverse and employs approaches to learning and audience building that reï¬‚ect regional- and museum-speciï¬Åc attitudes toward diversity and community engagement. (Research supported by the Oï¬ƒce of the Dean of the College.)","ADVISOR: Peggy Levitt, Sociology",Sociology,Sociology and Spanish,2010,Megan A. Goossen,Museums and the Changing  Nation: Negotiating Concepts of Engagement and Diversity in Museum Educational Programming,2010
109,"Lithuanians and non-Lithuanians alike have used dainos [ancient folk songs] to construct the idea of what it means to be ethnically Lithuanian. The performance of folk songs in times of occupation allowed Lithuanians to preserve their pride in their ethnicity, despite oppression. Since Lithuaniaâ€™s declaration of independence in 1991, the traditions of folk singing have been passed onto a new generation of Lithuanians who are reinterpreting the cultural meaning of these songs. For eight weeks I conducted an ethnographic study of music-making in Vilnius, Lithuania during its European Capital of Culture festivities. My work contextualizes and analyzes my experiences in the ï¬Åeld, demonstrating the critical, yet dynamic, role of folk song in the continual construction of Lithuanian identity. (Research supported by the Oï¬ƒce of the Dean of the College, the Department of Russian Area Studies, the Department of Music, and through the Goldman Research Travel Grant from the Davis Center,  Harvard University.)","ADVISOR: Philip Kohl, Anthropology",Anthropology,Anthropology and Music,2010,Emily D. Å aras,Ancient Songs and Current Constructions: The Use of Music in the Ongoing Development of Lithuanian Identity,2010
110,"Many developing countries with high levels of child labor have undergone trade liberalization in the last three decades and it has often been prescribed as a means of decreasing poverty in the long run. Increase in high skilled exports increase returns to education and can inï¬‚uence parents to substitute child labor for schooling. However, if parents send their children to work out of necessity or poverty, they will be present-biased and expectations of future income may not aï¬€ect child labor. In theory, increase in low skilled exports both raises household income and child wages with ambiguous eï¬€ects on child labor. This paper empirically explores the impact of trade liberalization in India in the 1990s. The study uses variation in exports in the districts of India to see its eï¬€ects on the incidence of child labor and the subcategories of child labor: salaried work, work in house-hold enterprise, and domestic work.","ADVISOR: Kartini Shastry, Economics",Economics,Economics,2010,Afia Tasneem,Trade Liberalization and Child Labor: Does Increase in Exports Decrease Child Labor?,2010
111,"A striking feature of fertility control in India is that 67% of women using contraception are sterilized, 34% of whom were sterilized by the age of 25. In contrast, oral contraceptives are the most popular contraceptive method in the neighboring country of Bangladesh, where only 5% of married women of reproductive age opt for sterilization. Contraceptives have a two-fold purposeâ€” to limit births and to delay births. As female sterilization is an irreversible procedure, it can only be used to limit births. For this reason one would expect women to use spacing mechanisms in addition to sterilization. But very few Indian women do. In my thesis,  I explore the consequences of contraceptive method on the birth interval, which is the number of months between one birth and  the next. The concern is that contraceptive choice may cause low birth intervals that then have adverse consequences for both mother and child.","ADVISOR: David L. Lindauer, Economics",Economics,Economics,2010,Tejaswi Velayudhan,Contraceptive Choices and Consequences in Bangladesh and India,2010
112,"Even though Russia transitioned to a democratic institutional system in 1991, old Communist institutions persist in some of its regions. These â€œshadow institutionsâ€ù can have a signiï¬Åcant eï¬€ect on economic outcomes such as small businesses development, income inequality, and foreign direct investment. Using regional data for 1994â€“2006, I examine whether Russian regions run by old Communist elites have had lower levels of economic development than regions led by newcomers to the political arena. In the process, I create a brand new dataset on Russiaâ€™s geopolitics by investigating leader backgrounds before and after the transition including their aï¬ƒliations with the Communist party and military organizations and their current abilities to exercise power over the region.","ADVISOR: Olga Shurchkov, Economics",Economics,Economics,2010,Natalia Kopyra,Political Elites in Russia and the Effect of Their Background on Economic Outcomes,2010
113,"Among the many new burdens associated with climate change, droughts are increasing in many places around the world. Placed in light of our planetâ€™s exponentially increasing population, scarcity of water has left farmers and legislators at a loss for how to feed unmatched numbers. More than ever, there is an urgent need to ï¬Ånd ways to produce larger yields of vital cereal crops. My project investigates the eï¬€ectiveness of inoculating soil with mycorrhizal fungi to increase drought tolerance of spring wheat, also taking salinity stress from irrigation into account. Wheat plants were grown from seed under greenhouse conditions; after applying water and salt stress on the plants, I observed their overall health and speciï¬Åcally measured photosynthetic rate, height, and root biomass. It is my goal that this experiment will be useful in addressing the critical agricultural concerns of developing nations.","ADVISOR: Kristina Jones, Biological Sciences, and Alden Griffith, Botanic Gardens","Biological Sciences, Botanic Gardens",Unspecified,2012,Amisha Ahuja,Soil Inoculation: Investigating Measures to Improve Drought Resistance in Crops,2010
114,"Panicum virgatum, or switchgrass, is a biofuel crop candidate for North America. Although switchgrass tolerates a wide range of environmental conditions, a recent study found that switchgrass yields vary with ï¬‚ooding and drought events. Drought events are becoming more frequent, according to regional climate models, and my research builds on this study to evaluate the factor of drought timing on switchgrass yields and growth. I conducted a greenhouse experiment to simulate the eï¬€ect of early, mid- and late season drought periods on a common switchgrass cultivar, Cave-in-Rock, manipulating soil water potential to maintain drought-like conditions. I tracked various growth and development measurements from seedling and subsequent stages, and my results include ï¬Ånal biomass yields, root:shoot ratio, and phenological data. Understanding how switchgrass, known for its hardiness and high yields, responds to the factor of drought timing is particularly relevant for climate change and biofuel eï¬€orts.","ADVISOR: Kristina Jones, Biological Sciences, and Alden Griffith, Botanic Gardens","Biological Sciences, Botanic Gardens",Biological Sciences,2012,Jennifer Yang,Switchgrass and Climate Change,2010
115,"Bee populations worldwide are in crisis, most likely due to pesticide use, introduced diseases and parasites, loss of habitat, and climate change. While the decline of the commercially valuable Apis mellifera, or Western honeybee, has been the subject of much research, little is known about the health of most native bee populations. Native bees are an integral part of New England ecosystems; they increase the yield of commercial crops such as blueberries, and they are superior pollinators of native plants. By tracking the arrival of native bee species to the Wellesley College campus and analyzing the emergence cues, overwintering habits, and generalist or specialist nature of those species, this research investigates the impacts of climate change, particularly the early arrival of spring, on the emergence of native bees.","ADVISOR: Kristina Jones, Biological Sciences,  and Alden Griffith, Botanic Gardens",,Environmental Studies,2012,Dominique Hazzard,Native Bee Emergence and Climate Change,2010
